iter	Passed	Remaining
909	6676	660
910	6683	652
911	6691	645
912	6698	638
913	6704	630
914	6710	623
915	6717	615
916	6724	608
917	6732	601
918	6739	594
919	6746	586
920	6752	579
921	6759	571
922	6766	564
923	6773	557
924	6779	549
925	6786	542
926	6792	534
927	6800	527
928	6807	520
929	6814	512
930	6822	505
931	6830	498
932	6837	491
933	6845	483
934	6853	476
935	6860	469
936	6870	461
937	6877	454
938	6886	447
939	6893	439
940	6901	432
941	6909	425
942	6916	418
943	6924	410
944	6932	403
945	6938	396
946	6946	388
947	6954	381
948	6961	374
949	6968	366
950	6977	359
951	6985	352
952	6992	344
953	7000	337
954	7007	330
955	7014	322
956	7022	315
957	7029	308
958	7036	300
959	7044	293
960	7051	286
961	7059	278
962	7068	271
963	7076	264
964	7084	256
965	7091	249
966	7098	242
967	7104	234
968	7111	227
969	7119	220
970	7126	212
971	7133	205
972	7141	198
973	7148	190
974	7155	183
975	7164	176
976	7174	168
977	7182	161
978	7190	154
979	7198	146
980	7206	139
981	7214	132
982	7220	124
983	7227	117
984	7236	110
985	7244	102
986	7252	95
987	7260	88
988	7268	80
989	7274	73
990	7282	66
991	7289	58
992	7297	51
993	7305	44
994	7313	36
995	7321	29
996	7328	22
997	7336	14
998	7343	7
999	7351	0
